n,d,d/n,Matched Fraction
32,2,0.0625,0.9375
32,2,0.0625,0.9375
32,2,0.0625,0.875
32,2,0.0625,0.875
32,2,0.0625,0.875
32,2,0.0625,0.9375
32,2,0.0625,0.8125
32,2,0.0625,0.8125
32,2,0.0625,0.9375
32,2,0.0625,0.8125
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.9375
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.875
32,3,0.09375,0.9375
32,4,0.125,0.9375
32,4,0.125,0.9375
32,4,0.125,0.875
32,4,0.125,0.875
32,4,0.125,0.875
32,4,0.125,0.9375
32,4,0.125,0.875
32,4,0.125,0.9375
32,4,0.125,1.0
32,4,0.125,0.875
32,5,0.15625,0.9375
32,5,0.15625,0.9375
32,5,0.15625,0.9375
32,5,0.15625,0.9375
32,5,0.15625,0.9375
32,5,0.15625,0.875
32,5,0.15625,0.9375
32,5,0.15625,0.9375
32,5,0.15625,0.8125
32,5,0.15625,0.875
64,2,0.03125,0.875
64,2,0.03125,0.875
64,2,0.03125,0.875
64,2,0.03125,0.9375
64,2,0.03125,0.78125
64,2,0.03125,0.90625
64,2,0.03125,0.875
64,2,0.03125,0.875
64,2,0.03125,0.875
64,2,0.03125,0.84375
64,3,0.046875,0.875
64,3,0.046875,0.90625
64,3,0.046875,0.875
64,3,0.046875,0.9375
64,3,0.046875,0.90625
64,3,0.046875,0.90625
64,3,0.046875,0.875
64,3,0.046875,0.875
64,3,0.046875,0.84375
64,3,0.046875,0.875
64,4,0.0625,0.90625
64,4,0.0625,0.875
64,4,0.0625,0.875
64,4,0.0625,0.90625
64,4,0.0625,0.875
64,4,0.0625,0.875
64,4,0.0625,0.9375
64,4,0.0625,0.90625
64,4,0.0625,0.875
64,4,0.0625,0.96875
64,5,0.078125,0.90625
64,5,0.078125,0.96875
64,5,0.078125,0.90625
64,5,0.078125,0.9375
64,5,0.078125,0.875
64,5,0.078125,0.9375
64,5,0.078125,0.9375
64,5,0.078125,0.9375
64,5,0.078125,0.9375
64,5,0.078125,0.9375
64,6,0.09375,0.9375
64,6,0.09375,0.9375
64,6,0.09375,0.875
64,6,0.09375,0.90625
64,6,0.09375,0.9375
64,6,0.09375,0.90625
64,6,0.09375,0.9375
64,6,0.09375,0.9375
64,6,0.09375,0.9375
64,6,0.09375,0.90625
64,8,0.125,0.90625
64,8,0.125,0.9375
64,8,0.125,0.9375
64,8,0.125,0.9375
64,8,0.125,0.96875
64,8,0.125,0.96875
64,8,0.125,0.9375
64,8,0.125,0.96875
64,8,0.125,0.96875
64,8,0.125,0.9375
128,2,0.015625,0.875
128,2,0.015625,0.921875
128,2,0.015625,0.890625
128,2,0.015625,0.875
128,2,0.015625,0.890625
128,2,0.015625,0.84375
128,2,0.015625,0.890625
128,2,0.015625,0.84375
128,2,0.015625,0.875
128,2,0.015625,0.859375
128,3,0.0234375,0.921875
128,3,0.0234375,0.875
128,3,0.0234375,0.890625
128,3,0.0234375,0.890625
128,3,0.0234375,0.890625
128,3,0.0234375,0.890625
128,3,0.0234375,0.875
128,3,0.0234375,0.890625
128,3,0.0234375,0.890625
128,3,0.0234375,0.890625
128,4,0.03125,0.875
128,4,0.03125,0.890625
128,4,0.03125,0.859375
128,4,0.03125,0.90625
128,4,0.03125,0.890625
128,4,0.03125,0.90625
128,4,0.03125,0.90625
128,4,0.03125,0.875
128,4,0.03125,0.890625
