n,d,d/n,Average Matched Fraction
32,2,0.0625,0.875
32,3,0.09375,0.8875
32,4,0.125,0.8875
32,5,0.15625,0.925
64,2,0.03125,0.875
64,3,0.046875,0.890625
64,4,0.0625,0.88125
64,5,0.078125,0.915625
64,6,0.09375,0.934375
64,8,0.125,0.940625
128,2,0.015625,0.878125
128,3,0.0234375,0.896875
128,4,0.03125,0.9109375
128,5,0.0390625,0.909375
128,11,0.0859375,0.9546875
128,12,0.09375,0.965625
256,2,0.0078125,0.8765625
256,3,0.01171875,0.89609375
256,4,0.015625,0.903125
256,5,0.01953125,0.9125
256,16,0.0625,0.9671875
256,25,0.09765625,0.9765625
512,2,0.00390625,0.8734375
512,3,0.005859375,0.8828125
512,4,0.0078125,0.903125
512,5,0.009765625,0.91015625
512,6,0.01171875,0.9234375
512,22,0.04296875,0.97578125
512,51,0.099609375,0.987890625
1024,2,0.001953125,0.882421875
1024,3,0.0029296875,0.88828125
1024,4,0.00390625,0.907421875
1024,5,0.0048828125,0.91796875
1024,6,0.005859375,0.9248046875
1024,32,0.03125,0.9826171875
1024,102,0.099609375,0.99375
2048,2,0.0009765625,0.87900390625
2048,3,0.00146484375,0.8896484375
2048,4,0.001953125,0.90341796875
2048,5,0.00244140625,0.91689453125
2048,7,0.00341796875,0.933984375
2048,45,0.02197265625,0.9861328125
2048,204,0.099609375,0.99677734375
4096,2,0.00048828125,0.8751953125
4096,3,0.000732421875,0.8900390625
4096,4,0.0009765625,0.902783203125
4096,5,0.001220703125,0.915576171875
4096,8,0.001953125,0.93955078125
4096,64,0.015625,0.988818359375
4096,409,0.099853515625,0.9982421875
